name,stars,language,owner,url,created_at,age_years,license
awesome-public-datasets,58744,,awesomedata,https://github.com/awesomedata/awesome-public-datasets,2014-11-20T06:20:50Z,9.51,MIT License
llama.cpp,58713,C++,ggerganov,https://github.com/ggerganov/llama.cpp,2023-03-10T18:58:00Z,1.2,MIT License
Ventoy,58649,C,ventoy,https://github.com/ventoy/Ventoy,2020-03-10T15:19:19Z,4.2,GNU General Public License v3.0
tesseract,58613,C++,tesseract-ocr,https://github.com/tesseract-ocr/tesseract,2014-08-12T18:04:59Z,9.78,Apache License 2.0
manim,58582,Python,3b1b,https://github.com/3b1b/manim,2015-03-22T18:50:58Z,9.18,MIT License
fuel-core,58410,Rust,FuelLabs,https://github.com/FuelLabs/fuel-core,2020-08-27T21:12:14Z,3.74,Other
scikit-learn,58386,Python,scikit-learn,https://github.com/scikit-learn/scikit-learn,2010-08-17T09:43:38Z,13.78,"BSD 3-Clause ""New"" or ""Revised"" License"
gpt4free,58267,Python,xtekky,https://github.com/xtekky/gpt4free,2023-03-29T17:00:43Z,1.15,GNU General Public License v3.0
Best-websites-a-programmer-should-visit,58093,,sdmg15,https://github.com/sdmg15/Best-websites-a-programmer-should-visit,2017-03-05T20:25:17Z,7.22,MIT License
shadowsocks-windows,57980,C#,shadowsocks,https://github.com/shadowsocks/shadowsocks-windows,2013-01-14T07:54:16Z,11.36,Other
d2l-zh,57478,Python,d2l-ai,https://github.com/d2l-ai/d2l-zh,2017-08-23T04:40:24Z,6.75,Apache License 2.0
PayloadsAllTheThings,57310,Python,swisskyrepo,https://github.com/swisskyrepo/PayloadsAllTheThings,2016-10-18T07:29:07Z,7.6,MIT License
Java,57070,Java,TheAlgorithms,https://github.com/TheAlgorithms/Java,2016-07-16T10:21:02Z,7.86,MIT License
Apollo-11,56799,Assembly,chrislgarry,https://github.com/chrislgarry/Apollo-11,2014-04-03T15:45:02Z,10.14,Other
openai-cookbook,56742,MDX,openai,https://github.com/openai/openai-cookbook,2022-03-11T02:08:53Z,2.2,MIT License
design-resources-for-developers,56568,,bradtraversy,https://github.com/bradtraversy/design-resources-for-developers,2020-05-06T14:40:35Z,4.05,MIT License
imgui,56463,C++,ocornut,https://github.com/ocornut/imgui,2014-07-21T14:29:47Z,9.85,MIT License
awesome-nodejs,56237,,sindresorhus,https://github.com/sindresorhus/awesome-nodejs,2014-07-11T13:35:34Z,9.87,Creative Commons Zero v1.0 Universal
obs-studio,56117,C,obsproject,https://github.com/obsproject/obs-studio,2013-10-01T02:40:31Z,10.65,GNU General Public License v2.0
awesome-cpp,56077,,fffaraz,https://github.com/fffaraz/awesome-cpp,2014-07-17T08:51:11Z,9.86,MIT License
html5-boilerplate,56077,JavaScript,h5bp,https://github.com/h5bp/html5-boilerplate,2010-01-24T18:03:24Z,14.33,MIT License
tabby,55933,TypeScript,Eugeny,https://github.com/Eugeny/tabby,2016-12-23T09:06:10Z,7.42,MIT License
spring-framework,55321,Java,spring-projects,https://github.com/spring-projects/spring-framework,2010-12-08T04:04:45Z,13.47,Apache License 2.0
gatsby,55070,JavaScript,gatsbyjs,https://github.com/gatsbyjs/gatsby,2015-05-21T22:43:05Z,9.01,MIT License
rails,54990,Ruby,rails,https://github.com/rails/rails,2008-04-11T02:19:47Z,16.13,MIT License
caddy,54425,Go,caddyserver,https://github.com/caddyserver/caddy,2015-01-13T19:45:03Z,9.36,Apache License 2.0
SecLists,54298,PHP,danielmiessler,https://github.com/danielmiessler/SecLists,2012-02-19T01:30:18Z,12.27,MIT License
awesome-courses,54292,,prakhar1989,https://github.com/prakhar1989/awesome-courses,2014-11-15T18:36:49Z,9.52,No License
element,53985,Vue,ElemeFE,https://github.com/ElemeFE/element,2016-09-03T06:19:26Z,7.72,MIT License
leetcode,53906,JavaScript,azl397985856,https://github.com/azl397985856/leetcode,2018-03-30T09:13:51Z,6.15,Other
awesome-scalability,53673,,binhnguyennus,https://github.com/binhnguyennus/awesome-scalability,2017-12-27T03:46:40Z,6.41,MIT License
llama,53578,Python,meta-llama,https://github.com/meta-llama/llama,2023-02-14T09:29:12Z,1.27,Other
alacritty,53441,Rust,alacritty,https://github.com/alacritty/alacritty,2016-02-18T05:02:30Z,8.27,Apache License 2.0
DeepLearning-500-questions,53419,JavaScript,scutan90,https://github.com/scutan90/DeepLearning-500-questions,2018-06-27T06:36:45Z,5.91,GNU General Public License v3.0
docusaurus,53335,TypeScript,facebook,https://github.com/facebook/docusaurus,2017-06-20T16:13:53Z,6.93,MIT License
prometheus,53154,Go,prometheus,https://github.com/prometheus/prometheus,2012-11-24T11:14:12Z,11.5,Apache License 2.0
localstack,52444,Python,localstack,https://github.com/localstack/localstack,2016-10-25T23:48:03Z,7.58,Other
nuxt,52366,TypeScript,nuxt,https://github.com/nuxt/nuxt,2016-10-26T11:18:47Z,7.58,MIT License
new-pac,52317,,Alvin9999,https://github.com/Alvin9999/new-pac,2016-03-23T08:43:36Z,8.17,No License
private-gpt,52305,Python,zylon-ai,https://github.com/zylon-ai/private-gpt,2023-05-02T09:15:31Z,1.06,Apache License 2.0
react-router,52117,TypeScript,remix-run,https://github.com/remix-run/react-router,2014-05-16T22:22:51Z,10.02,MIT License
face_recognition,52007,Python,ageitgey,https://github.com/ageitgey/face_recognition,2017-03-03T21:52:39Z,7.22,MIT License
screenshot-to-code,51951,Python,abi,https://github.com/abi/screenshot-to-code,2023-11-14T17:53:32Z,0.52,MIT License
normalize.css,51949,CSS,necolas,https://github.com/necolas/normalize.css,2011-05-04T10:20:25Z,13.06,MIT License
nerd-fonts,51822,CSS,ryanoasis,https://github.com/ryanoasis/nerd-fonts,2014-12-05T04:31:17Z,9.47,Other
sherlock,51789,Python,sherlock-project,https://github.com/sherlock-project/sherlock,2018-12-24T14:30:48Z,5.42,MIT License
awesome-flutter,51613,Dart,Solido,https://github.com/Solido/awesome-flutter,2017-05-07T11:45:27Z,7.05,No License
requests,51455,Python,psf,https://github.com/psf/requests,2011-02-13T18:38:17Z,13.28,Apache License 2.0
scrapy,51208,Python,scrapy,https://github.com/scrapy/scrapy,2010-02-22T02:01:14Z,14.26,"BSD 3-Clause ""New"" or ""Revised"" License"
Real-Time-Voice-Cloning,51047,Python,CorentinJ,https://github.com/CorentinJ/Real-Time-Voice-Cloning,2019-05-26T08:56:15Z,5.0,Other
Semantic-UI,51006,JavaScript,Semantic-Org,https://github.com/Semantic-Org/Semantic-UI,2013-04-08T23:32:04Z,11.13,MIT License
act,50931,Go,nektos,https://github.com/nektos/act,2019-01-02T19:53:43Z,5.39,MIT License
gpt-engineer,50817,Python,gpt-engineer-org,https://github.com/gpt-engineer-org/gpt-engineer,2023-04-29T12:52:15Z,1.07,MIT License
cs-self-learning,50815,HTML,PKUFlyingPig,https://github.com/PKUFlyingPig/cs-self-learning,2021-10-20T13:43:42Z,2.59,MIT License
awesome-chatgpt-prompts-zh,50758,,PlexPt,https://github.com/PlexPt/awesome-chatgpt-prompts-zh,2022-12-12T01:55:03Z,1.45,MIT License
uptime-kuma,50554,JavaScript,louislam,https://github.com/louislam/uptime-kuma,2021-07-03T01:02:42Z,2.89,MIT License
ionic-framework,50508,TypeScript,ionic-team,https://github.com/ionic-team/ionic-framework,2013-08-20T23:06:02Z,10.76,MIT License
ChatGPT,50440,Rust,lencx,https://github.com/lencx/ChatGPT,2022-12-07T09:43:02Z,1.46,No License
git,50424,C,git,https://github.com/git/git,2008-07-23T14:21:26Z,15.84,Other
rustlings,50085,Rust,rust-lang,https://github.com/rust-lang/rustlings,2015-09-15T02:25:18Z,8.69,MIT License
material-design-icons,49909,,google,https://github.com/google/material-design-icons,2014-10-08T18:01:28Z,9.63,Apache License 2.0
faceswap,49493,Python,deepfakes,https://github.com/deepfakes/faceswap,2017-12-19T09:44:13Z,6.43,GNU General Public License v3.0
guava,49493,Java,google,https://github.com/google/guava,2014-05-29T16:23:17Z,9.99,Apache License 2.0
AppFlowy,49429,Dart,AppFlowy-IO,https://github.com/AppFlowy-IO/AppFlowy,2021-06-16T12:56:48Z,2.94,GNU Affero General Public License v3.0
you-get,49373,Python,soimort,https://github.com/soimort/you-get,2012-08-20T15:53:36Z,11.76,Other
awesome-android-ui,49339,,wasabeef,https://github.com/wasabeef/awesome-android-ui,2014-12-24T01:45:03Z,9.42,MIT License
open-interpreter,49185,Python,OpenInterpreter,https://github.com/OpenInterpreter/open-interpreter,2023-07-14T07:10:44Z,0.86,GNU Affero General Public License v3.0
annotated_deep_learning_paper_implementations,49155,Jupyter Notebook,labmlai,https://github.com/labmlai/annotated_deep_learning_paper_implementations,2020-08-25T02:29:34Z,3.75,MIT License
anime,48867,JavaScript,juliangarnier,https://github.com/juliangarnier/anime,2016-03-13T21:37:45Z,8.2,MIT License
tldr,48756,Markdown,tldr-pages,https://github.com/tldr-pages/tldr,2013-12-08T07:34:43Z,10.46,Other
bulma,48679,CSS,jgthms,https://github.com/jgthms/bulma,2016-01-23T23:48:34Z,8.33,MIT License
grok-1,48555,Python,xai-org,https://github.com/xai-org/grok-1,2024-03-17T08:53:38Z,0.18,Apache License 2.0
prettier,48445,JavaScript,prettier,https://github.com/prettier/prettier,2016-11-29T17:13:37Z,7.48,MIT License
jekyll,48402,Ruby,jekyll,https://github.com/jekyll/jekyll,2008-10-20T06:29:03Z,15.6,MIT License
traefik,48374,Go,traefik,https://github.com/traefik/traefik,2015-09-13T19:04:02Z,8.7,MIT License
openpilot,48216,Python,commaai,https://github.com/commaai/openpilot,2016-11-24T01:33:30Z,7.5,MIT License
ghidra,48121,Java,NationalSecurityAgency,https://github.com/NationalSecurityAgency/ghidra,2019-03-01T03:27:48Z,5.23,Apache License 2.0
leetcode-master,47874,Shell,youngyangyang04,https://github.com/youngyangyang04/leetcode-master,2019-12-14T12:05:42Z,4.44,No License
moment,47825,JavaScript,moment,https://github.com/moment/moment,2011-03-01T02:46:06Z,13.24,MIT License
kotlin,47779,Kotlin,JetBrains,https://github.com/JetBrains/kotlin,2012-02-13T17:29:58Z,12.28,No License
